Polyhedra Special Bonus Rewards: $100,000 in ZKB Winners: 5,000		Activate 1 Resonator NFT Rewards: $100,000 in ZKB Winners: 10,000		Bridge your ETH or USDT on zkBridge once Rewards: $100,000 in ZKB Winners: 10,000		Bridge your ETH or USDT on zkBridge 5 times Rewards: $100,000 in ZKB Winners: 500		Activate 5 Resonator NFTs Rewards: $100,000 in ZKB Winners: 2,000		Activate 1 Epic Resonator NFT Rewards: $50,000 in ZKB Winners: 500		Activate 1 Legendary Resonator NFT Rewards: $50,000 in ZKB Winners: 250
0x83c6a2ad849d0dc290794b5c10ba2b823ba2a089		0x7214e6c1a2fd1798ef17fa59fdc5019100854b95		0xe5047fc257ecd3ee052ead377a87cf06eb40e139		0xab811e08c75660b27131ee3388926b6055cfd422		0x6e257f3f1ecd850b8a0143b7d5aaf47bc2110643		0x5ba21ab9eacb3866c40769069985b86e32ec7191		0xb1a0b8d25308977b61f71d2d83dce851a463efb6
0x6e6da22b231c42d376df5a74ec9b92a25e5796cd		0xa3abcdce434b2a44077638ee188e2a3b65d82b80		0xf2d6e95da628c0c0bfac81e277e836936cfd4fbf		0x9d9854f6c9588bf5a56158a47090e0dfac89d596		0xd379339f44b3d035653dbd5b51ca49e567ab2555		0x40e64e9f7f180df91cf4ec6b277e4c5dfb1dafaa		0x30b8d040f220a46691482cdc2361e12cd0a84f70
0x210bf50b7d8c71a1a0537db2948f3234c96c6c75		0x8c520bf996c1124a7b9e1669d9272db56c343d91		0xf77b38ecf43ccc2bd1e2b0d626f2167162b008fc		0x7721e00c9ee5cd35b63c2d84ace1cff0ba4f3abb		0x8e30f02cff1178e69b2391f060fa0478eca1b201		0x5fda6ab444025818f532e90b555b28d77148c840		0x67929f628818daa4c7e58690c50865443d37b2dc
0x49e8fe7e73d5441d16709ade1ed6ae17c130a080		0xc448ac4a01c5f9789e199c9a9f6f3b923a1bc520		0xf5b8dbced7dc278312d989feed4659c28de9be07		0xcba25f5598310d8a34f96cc83864f9c16afbfd34		0x67a3cf6ebb092927b424b308a9805e430b39b773		0x35fe5ed4c76fc44c0489185e639788f43535a5b4		0x5707bd6e8b7f2efbdd305b512b42ad9761b8f4bf
0xdb881a9717f92c320e71b39a76c44c71e555d11f		0x3a274da16f350178b35aa412aaf5a1585d247da7		0x6410264a59f8c10c941043dca9769d350f34d2fd		0xde091fbaa84b61f9f0db145c009a7f56bd5ad46f		0x23d6c123ba8c4533aee7dc546fbc9fca5523786e		0x7558266c1c56a6be7a23fa7221649714577ee64d		0xbda7ac81461d885b107a7f3a77d72f0ba334c336
0xbe6636911655985d086c0728816527fe8d1ec5d2		0x9c863765d642ebeb09295e975941039afd7f0be0		0x106dea236fa0c0ba78ef3e04a981f57c84cb96ec		0x9d2ebd36f1ea90f65b6fa17f92a3e22a5e9f77ee		0x9d2f1aa2499f1fc465d0b80cc07bb1a067c5b685		0x1f691435c68ede21f184840ff884099a12e7760a		0x7241c18533acf5f786c5a0b5f9c2c370620c5c6f
0x91698d8ea26f2a1f375083af75c508b056946882		0xb94202b6fc7fe0b6cefee94210d84ae50d847df0		0x72ccbcd25c2ee793af5f4d9defca4a5fa6c3ac81		0x3d994c043fd1a7ea71d438fcf1e22604600ae891		0x1f1b6bc4d02fb15b4bdae9b524fcf58fd8112fc4		0x3d6dec9cd373448fb09453a734a2a87c47e8971b		0x67914fbda9f96a277cd818ea85cfe31ca7e91cc3
0x0b3ff9be205316d88977cd2e72bdd491ae29594d		0xd0211e28406c378cd681cf795e0e6112bca6f506		0x3ec9a38858ee9776483342198cb9cd7627906f9c		0x0a18cbdc365014c0623bb713bbf42eed9c882dc4		0x84c522e92bd2b4cf16d6768255b5e35e1a6cf0ee		0xf3b010cea450bf858060bca9d83af26da0d2a1ac		0xa477b48f5aee0acd55b4c3eb96e57bb16308b6f9
0xa1add90262b59ce69845a5f82360a93d9dc73c68		0xd3b4b1ff5794864aa7bada45a5432445b9d0ba87		0x735a6d8f480b2ec51dcf4f089068476837312068		0x85faaffe6d0076b19725df4f326fa01180cddd04		0xfe9a99d25c7b129621b7746da9d69965b5b3bbb0		0x09b17b26d9a3a11e7cc2acde2f183a21b0108fc9		0xc5ff2af0291a66f15e5b51bf8603d7148e58bee6
0x274a32666c0b60635b2b5435c7b4bc66d3af24f4		0x1f7401dd94eb0f032af47f43e5bcb18969bb45cf		0xb68be4d09293b042c369fea532945dd3c0a74241		0x663d667080379f0c625003617a70c1a3ba6000c0		0xb3339e190b99323ef3875f2a608b6a21f63a195d		0x8671e111d31479387f556bced483f17261de3389		0xb20a58359cd9de392482d120512c30f5ee3056b8
